date,open,high,low,close,volume,ret,abs_ret,rupee_vol,amihud,log_amihud,cs_spread,hl_spread,zero_ret,turnover,log_rupee_vol,entity,type,invit,post,date_str
2024-11-13,88.88,89.14,87.7,88.0,852907.0,-0.00967814539725409,0.00967814539725409,75055816.0,0.12894597531594473,0.1212844322209477,0.002616377501433729,0.016285908165573373,0,852907.0,18.133742608044493,PGINVIT,InvIT,1,0,20241113
2024-11-14,88.0,88.0,86.52,87.18,1105042.0,-0.009318181818181781,0.009318181818181781,96337561.56,0.09672428559838857,0.09232781478831115,0.0,0.01696080678432276,0,1105042.0,18.383368848071687,PGINVIT,InvIT,1,0,20241114
2024-11-18,87.85,87.98,86.5,86.61,764190.0,-0.006538196834136367,0.006538196834136367,66186495.9,0.09878445361444746,0.09420452662637463,0.016409348642808533,0.016964695093993624,0,764190.0,18.007987010672583,PGINVIT,InvIT,1,0,20241118
2024-11-19,87.3,87.3,86.59,86.7,781867.0,0.0010391409767924742,0.0010391409767924742,67787868.9,0.01532930587219676,0.015212999157659782,0.0044978580474580275,0.008166082005865705,0,781867.0,18.031893812122917,PGINVIT,InvIT,1,0,20241119
2024-11-21,86.8,86.89,86.11,86.49,1085199.0,-0.0024221453287197603,0.0024221453287197603,93858861.50999999,0.025806250893653744,0.02547888963125715,0.0,0.00901734104046244,0,1085199.0,18.357302738595784,PGINVIT,InvIT,1,0,20241121
2024-11-22,86.78,86.78,85.89,86.01,996222.0,-0.005549774540409169,0.005549774540409169,85685054.22,0.06476945823200261,0.06275830458446909,0.005119569982768009,0.010308681299588817,0,996222.0,18.266188971859755,PGINVIT,InvIT,1,0,20241122
2024-11-25,86.49,86.49,85.8,85.98,872490.0,-0.00034879665155218564,0.00034879665155218564,75016690.2,0.004649587320131935,0.004638811378552086,0.004098406526937094,0.008009751001218849,0,872490.0,18.13322118274312,PGINVIT,InvIT,1,0,20241125
2024-11-26,86.47,86.49,85.9,86.0,1174505.0,0.0002326122354034954,0.0002326122354034954,101007430.0,0.0023029220266617555,0.002300274365856432,0.0060991413156722225,0.0068449446023550005,0,1174505.0,18.430704636456245,PGINVIT,InvIT,1,0,20241126
2024-11-27,86.02,86.35,85.9,86.03,892524.0,0.00034883720930234396,0.00034883720930234396,76783839.72,0.004543107124811861,0.004532818363831138,0.004264220165115991,0.005224963715529622,0,892524.0,18.156504755663942,PGINVIT,InvIT,1,0,20241127
2024-11-28,86.25,86.38,86.03,86.15,524949.0,0.0013948622573520808,0.0013948622573520808,45224356.35,0.030843164390377903,0.03037707357047752,0.002522043942351692,0.004060089321965017,0,524949.0,17.627146356971885,PGINVIT,InvIT,1,0,20241128
2024-11-29,86.44,86.9,86.11,86.62,474012.0,0.005455600696459673,0.005455600696459673,41058919.440000005,0.13287248595112255,0.12475643021446421,0.0,0.009132420091324273,0,474012.0,17.530518652598936,PGINVIT,InvIT,1,0,20241129
2024-12-02,86.6,87.6,86.2,86.38,903950.0,-0.0027707226968368692,0.0027707226968368692,78083201.0,0.035484235550702764,0.03486917774022568,0.00329238374480002,0.01611047180667424,0,903950.0,18.173285495642716,PGINVIT,InvIT,1,0,20241202
2024-12-03,90.35,90.35,86.51,87.0,1249120.0,0.007177587404491925,0.007177587404491925,108673440.0,0.06604730101938362,0.06395769719767144,0.0,0.043424177315390576,0,1249120.0,18.5038579800087,PGINVIT,InvIT,1,0,20241203
