date,open,high,low,close,volume,ret,abs_ret,rupee_vol,amihud,hl_spread,zero_ret,log_rupee_vol,entity,type,exchange,period
2025-08-05,156.85,156.87,155.21,156.56,610397.0,0.0024972786066466135,0.0024972786066466135,95563754.32000001,0.026132068841543742,0.010638297872340403,0,18.375304167218168,INDIGRID,InvIT,NSE,pre
2025-08-06,157.48,157.69,156.0,156.56,335593.0,0.0,0.0,52540440.08,0.0,0.010774968918358874,1,17.777093718280994,INDIGRID,InvIT,NSE,pre
2025-08-07,155.5,157.0,155.5,155.82,562305.0,-0.004726622381195811,0.004726622381195811,87618365.1,0.053945566957352545,0.0096,0,18.28850118119398,INDIGRID,InvIT,NSE,pre
2025-08-08,155.26,157.4,155.26,157.27,603276.0,0.009305609036067475,0.009305609036067475,94877216.52000001,0.09808054428015248,0.013688991236487015,0,18.368094155936813,INDIGRID,InvIT,NSE,pre
2025-08-11,157.5,159.45,156.47,156.92,716503.0,-0.002225472118013716,0.002225472118013716,112433650.75999999,0.019793648102419015,0.018865535578627437,0,18.537873834603186,INDIGRID,InvIT,NSE,pre
2025-08-12,158.42,158.42,156.5,157.19,331396.0,0.0017206219729799521,0.0017206219729799521,52092137.24,0.03303035859428585,0.01219357297091317,0,17.76852457863587,INDIGRID,InvIT,NSE,pre
2025-08-13,158.76,158.76,157.01,158.16,310895.0,0.0061708760099243865,0.0061708760099243865,49171153.199999996,0.1254978907007694,0.01108401684770561,0,17.710817692438294,INDIGRID,InvIT,NSE,pre
2025-08-14,158.8,159.92,157.8,159.8,981084.0,0.010369246332827542,0.010369246332827542,156777223.20000002,0.06614000504141816,0.013345083721515648,0,18.870336395125214,INDIGRID,InvIT,NSE,pre
2025-08-18,160.0,160.0,159.0,159.5,1201782.0,-0.001877346683354264,0.001877346683354264,191684229.0,0.009793954845154548,0.006269592476489028,0,19.071359935461,INDIGRID,InvIT,NSE,pre
2025-08-19,160.0,160.0,159.15,159.87,1002380.0,0.002319749216300959,0.002319749216300959,160250490.6,0.014475769825199894,0.005326648911170261,0,18.892248715226827,INDIGRID,InvIT,NSE,pre
2025-08-20,159.99,160.0,159.0,159.99,1103202.0,0.0007506098705198916,0.0007506098705198916,176501287.98000002,0.004252716108252682,0.006269592476489028,0,18.988838731648112,INDIGRID,InvIT,NSE,pre
2025-08-21,160.0,160.0,158.75,159.2,676202.0,-0.004937808613038497,0.004937808613038497,107651358.39999999,0.045868521181972356,0.00784313725490196,0,18.494408400366652,INDIGRID,InvIT,NSE,pre
2025-08-22,159.8,160.0,159.19,159.49,523858.0,0.0018216080402011503,0.0018216080402011503,83550112.42,0.021802580360922395,0.005075346972022947,0,18.240957158546365,INDIGRID,InvIT,NSE,pre
2025-08-25,159.89,160.0,159.7,159.97,1930984.0,0.0030095930779359126,0.0030095930779359126,308899510.48,0.009742951917467579,0.0018767594619956921,0,19.54852657316758,INDIGRID,InvIT,NSE,pre
2025-08-26,160.39,163.89,159.26,161.06,1315709.0,0.006813777583296821,0.006813777583296821,211908091.54,0.032154400210860495,0.028655423178090642,0,19.171663208163086,INDIGRID,InvIT,NSE,pre
2025-08-28,162.47,162.47,159.35,161.46,1591692.0,0.002483546504408407,0.002483546504408407,256994590.32000002,0.009663808492295452,0.01938972096202849,0,19.36456559329943,INDIGRID,InvIT,NSE,pre
2025-08-29,161.88,165.47,161.88,164.34,1736419.0,0.01783723522853964,0.01783723522853964,285363098.46,0.06250715430551693,0.0219337100962273,0,19.469272957029972,INDIGRID,InvIT,NSE,pre
2025-09-01,165.48,166.97,163.75,164.49,1889804.0,0.0009127418765972894,0.0009127418765972894,310853859.96000004,0.002936241089992381,0.019472665699080786,0,19.554833456038587,INDIGRID,InvIT,NSE,pre
2025-09-02,165.0,165.0,164.02,164.4,1249041.0,-0.0005471457231442933,0.0005471457231442933,205342340.4,0.002664553847387109,0.005957084675703543,0,19.140189097452033,INDIGRID,InvIT,NSE,pre
2025-09-03,165.4,166.0,164.4,165.22,1126035.0,0.004987834549878389,0.004987834549878389,186043502.7,0.026810044304107748,0.00968523002421304,0,19.0414910898144,INDIGRID,InvIT,NSE,post
2025-09-04,166.4,166.4,165.11,165.49,776434.0,0.0016341847233991569,0.0016341847233991569,128492062.66000001,0.012718176434939306,0.007782570661518458,0,18.671377691208875,INDIGRID,InvIT,NSE,post
2025-09-05,166.29,166.29,165.15,165.39,610263.0,-0.0006042661187988241,0.0006042661187988241,100931397.57,0.005986899352897013,0.006879073135409042,0,18.429951612042785,INDIGRID,InvIT,NSE,post
2025-09-08,165.39,166.34,165.3,165.71,580656.0,0.0019348207267670947,0.0019348207267670947,96220505.76,0.02010819535279789,0.00627186105415506,0,18.38215305050944,INDIGRID,InvIT,NSE,post
2025-09-09,166.29,166.29,165.5,165.82,426048.0,0.0006638102709553007,0.0006638102709553007,70647279.36,0.009396119383064954,0.004762048283552802,0,18.073210157648447,INDIGRID,InvIT,NSE,post
2025-09-10,166.47,170.13,165.62,168.73,1122152.0,0.017549149680376352,0.017549149680376352,189340706.95999998,0.09268556118829628,0.026865227103499572,0,19.059058632470236,INDIGRID,InvIT,NSE,post
2025-09-11,170.65,170.65,168.05,168.49,1096207.0,-0.001422390801872675,0.001422390801872675,184699917.43,0.0077010906212871015,0.015352819604369614,0,19.0342429981201,INDIGRID,InvIT,NSE,post
2025-09-12,169.4,169.9,167.51,167.89,878751.0,-0.003561042198350184,0.003561042198350184,147533505.39,0.024137176087131434,0.014166740760499185,0,18.809565863134758,INDIGRID,InvIT,NSE,post
2025-09-15,169.48,169.48,167.5,168.05,836139.0,0.0009530049437131982,0.0009530049437131982,140513158.95000002,0.006782318117638463,0.011751439254555105,0,18.760811700359554,INDIGRID,InvIT,NSE,post
2025-09-16,169.0,169.0,167.9,168.6,1962811.0,0.00327283546563506,0.00327283546563506,330929934.59999996,0.009889813895473028,0.0065301276343128194,0,19.617417232988778,INDIGRID,InvIT,NSE,post
2025-09-17,168.99,169.0,168.11,168.49,1366079.0,-0.0006524317912217636,0.0006524317912217636,230170650.71,0.0028345568351535186,0.005280175610334824,0,19.254331551380208,INDIGRID,InvIT,NSE,post
2025-09-18,168.94,168.98,167.51,167.81,313437.0,-0.004035847824796712,0.004035847824796712,52597862.97,0.0767302623511267,0.008737258165175779,0,17.778186048935833,INDIGRID,InvIT,NSE,post
2025-09-19,168.3,172.05,162.15,168.9,37601437.0,0.006495441272868163,0.006495441272868163,6350882709.3,0.0010227619639954107,0.059245960502693026,0,22.57185964952869,INDIGRID,InvIT,NSE,post
2025-09-22,168.9,169.0,167.0,167.74,426775.0,-0.006867969212551839,0.006867969212551839,71587238.5,0.09593845713928244,0.011904761904761904,0,18.08642738280522,INDIGRID,InvIT,NSE,post
2025-09-23,167.01,168.25,165.9,166.77,362314.0,-0.005782759031835005,0.005782759031835005,60423105.78,0.09570443222316279,0.014065539428400387,0,17.916882135779456,INDIGRID,InvIT,NSE,post
2025-09-24,168.0,168.0,166.75,167.49,421294.0,0.004317323259579009,0.004317323259579009,70562532.06,0.061184358519163505,0.0074682598954443615,0,18.072009854223033,INDIGRID,InvIT,NSE,post
2025-09-25,168.89,168.89,167.25,167.88,251344.0,0.002328497223714754,0.002328497223714754,42195630.72,0.055183372874933384,0.00975783899565649,0,17.55782723620511,INDIGRID,InvIT,NSE,post
2025-09-26,168.4,168.4,167.4,167.74,419077.0,-0.0008339289969024888,0.0008339289969024888,70295975.98,0.011863111440969977,0.005955926146515783,0,18.068225114459796,INDIGRID,InvIT,NSE,post
2025-09-29,168.25,168.5,167.32,167.45,374527.0,-0.0017288661023012741,0.0017288661023012741,62714546.15,0.027567226559627653,0.007027574295753718,0,17.954103974708996,INDIGRID,InvIT,NSE,post
2025-09-30,167.4,167.95,162.1,165.01,410184.0,-0.01457151388474165,0.01457151388474165,67684461.84,0.2152859532101681,0.03544917436752004,0,18.030367196621164,INDIGRID,InvIT,NSE,post
2025-10-01,165.1,168.56,165.1,168.16,562045.0,0.019089752136234095,0.019089752136234095,94513487.2,0.2019791323098498,0.020739675118384034,0,18.364253103973322,INDIGRID,InvIT,NSE,post
2025-10-03,168.69,169.0,168.16,168.79,549611.0,0.0037464319695528214,0.0037464319695528214,92768840.69,0.04038459402626412,0.004982797484873671,0,18.345621372946866,INDIGRID,InvIT,NSE,post
2025-10-06,168.17,169.19,167.96,168.5,306366.0,-0.0017181112625155315,0.0017181112625155315,51622671.0,0.03328210705167758,0.007296455583568085,0,17.75947149442636,INDIGRID,InvIT,NSE,post
2025-10-07,168.5,168.88,168.01,168.34,620814.0,-0.0009495548961424571,0.0009495548961424571,104507828.76,0.009085969036090968,0.005164890617115406,0,18.464772542926685,INDIGRID,InvIT,NSE,post
2025-10-08,168.85,168.85,168.0,168.49,989319.0,0.0008910538196507112,0.0008910538196507112,166690358.31,0.005345563046865533,0.00504675671663942,0,18.931648507476023,INDIGRID,InvIT,NSE,post
2025-10-09,168.8,173.79,168.1,168.22,465060.0,-0.0016024689892575328,0.0016024689892575328,78232393.2,0.020483445842706657,0.03328555968293895,0,18.175194355037902,INDIGRID,InvIT,NSE,post
2025-10-10,168.7,168.99,168.22,168.69,271694.0,0.0027939602900963756,0.0027939602900963756,45832060.86,0.06096082606084181,0.004566887102992261,0,17.640494422962846,INDIGRID,InvIT,NSE,post
2025-10-13,168.98,168.98,168.25,168.49,184904.0,-0.0011856067342461696,0.0011856067342461696,31154474.96,0.03805574434389921,0.004329389437475846,0,17.25446845130682,INDIGRID,InvIT,NSE,post
2025-10-14,168.77,169.5,168.53,168.93,495310.0,0.002611430945456794,0.002611430945456794,83672718.3,0.031210064624574225,0.00573913557968227,0,18.242423536091124,INDIGRID,InvIT,NSE,post
2025-10-15,168.75,169.32,168.51,168.98,214037.0,0.0002959805836735274,0.0002959805836735274,36167972.26,0.008183499521228824,0.004795311251221042,0,17.403684540979953,INDIGRID,InvIT,NSE,post
2025-10-16,168.83,170.9,168.83,170.02,314735.0,0.0061545745058588786,0.0061545745058588786,53511244.7,0.11501460189093449,0.012186147823271381,0,17.79540237108965,INDIGRID,InvIT,NSE,post
2025-10-17,170.9,171.9,169.8,171.02,384595.0,0.005881660981061021,0.005881660981061021,65773436.900000006,0.08942304459478566,0.012291483757682142,0,18.001726620260097,INDIGRID,InvIT,NSE,post
2025-10-20,172.4,172.4,170.51,171.86,143897.0,0.00491170623318915,0.00491170623318915,24730138.42,0.1986121609904499,0.011023300574494852,0,17.023533236732238,INDIGRID,InvIT,NSE,post
2025-10-21,172.0,172.8,171.85,172.34,108792.0,0.002792971022925528,0.002792971022925528,18749213.28,0.14896470487670124,0.005512839112142853,0,16.746662351100415,INDIGRID,InvIT,NSE,post
2025-10-23,173.0,173.0,171.7,172.73,431176.0,0.0022629685505395347,0.0022629685505395347,74477030.47999999,0.030384784892131686,0.0075427908326081315,0,18.12600132010603,INDIGRID,InvIT,NSE,post
2025-10-24,172.9,173.2,172.1,172.96,345540.0,0.0013315579227697327,0.0013315579227697327,59764598.400000006,0.02228004468226683,0.00637127135823918,0,17.90592404361967,INDIGRID,InvIT,NSE,post
2025-10-27,173.11,173.87,170.0,172.31,282045.0,-0.0037580943570768577,0.0037580943570768577,48599173.95,0.07732835872772809,0.02250850612149943,0,17.699117091812692,INDIGRID,InvIT,NSE,post
2025-10-28,172.97,173.0,172.35,172.81,186842.0,0.002901746851604603,0.002901746851604603,32288166.02,0.0898702902421648,0.003764297089908821,0,17.29021134397062,INDIGRID,InvIT,NSE,post
2025-10-29,173.5,173.5,167.11,169.77,760316.0,-0.017591574561657275,0.017591574561657275,129078847.32000001,0.13628549469492796,0.03752091835236773,0,18.675933995142252,INDIGRID,InvIT,NSE,post
2025-10-30,169.41,174.0,169.41,173.75,266828.0,0.023443482358485035,0.023443482358485035,46361365.0,0.5056685099432477,0.026731894819603412,0,17.651977019488136,INDIGRID,InvIT,NSE,post
2025-10-31,172.81,173.76,170.01,171.86,372499.0,-0.010877697841726541,0.010877697841726541,64017678.14000001,0.16991709411794265,0.021816912470547168,0,17.974669824119466,INDIGRID,InvIT,NSE,post
2025-11-03,171.86,173.22,170.8,172.02,202864.0,0.0009309903409751019,0.0009309903409751019,34896665.28,0.026678490150996513,0.014068949479681342,0,17.367901831891064,INDIGRID,InvIT,NSE,post
2025-11-04,172.85,172.98,171.1,171.27,201227.0,-0.004359958144401821,0.004359958144401821,34464148.29,0.12650706199714476,0.01092769123459658,0,17.355430161679692,INDIGRID,InvIT,NSE,post
2025-11-06,172.6,172.6,171.54,172.08,214027.0,0.004729374671571307,0.004729374671571307,36829766.160000004,0.12841174855755064,0.0061602836055093995,0,17.42181693922922,INDIGRID,InvIT,NSE,post
2025-11-07,172.48,172.7,171.51,171.96,168007.0,-0.0006973500697350365,0.0006973500697350365,28890483.720000003,0.02413770833654413,0.006914383661137084,0,17.17902281581211,INDIGRID,InvIT,NSE,post
2025-11-10,172.6,172.6,171.25,171.37,358247.0,-0.003431030472202834,0.003431030472202834,61392788.39,0.055886539155170535,0.007852261160389671,0,17.93280293328764,INDIGRID,InvIT,NSE,post
2025-11-11,171.95,172.25,171.52,171.94,832979.0,0.0033261364299468354,0.0033261364299468354,143222409.26,0.023223575466522883,0.00424702562759979,0,18.779909289493464,INDIGRID,InvIT,NSE,post
2025-11-12,172.0,172.52,171.52,171.9,1774716.0,-0.0002326392927765042,0.0002326392927765042,305073680.40000004,0.0007625675622737339,0.005813277525869085,0,19.53606388047909,INDIGRID,InvIT,NSE,post
2025-11-13,172.0,172.0,171.25,171.43,596040.0,-0.002734147760325767,0.002734147760325767,102179137.2,0.02675837588033349,0.004369992716678805,0,18.442238077908787,INDIGRID,InvIT,NSE,post
2025-11-14,169.1,169.49,167.05,167.76,602546.0,-0.02140815493204229,0.02140815493204229,101083116.96,0.21178764145662224,0.014500505140547914,0,18.431453676573927,INDIGRID,InvIT,NSE,post
2025-11-17,168.5,168.5,164.56,166.44,312329.0,-0.007868383404864066,0.007868383404864066,51984038.76,0.15136152543265888,0.023659400708581024,0,17.766447282504775,INDIGRID,InvIT,NSE,post
2025-11-18,166.9,168.16,166.44,167.92,874019.0,0.008892093246815502,0.008892093246815502,146765270.48,0.06058717581982208,0.010280932456664667,0,18.804345069044192,INDIGRID,InvIT,NSE,post
2025-11-19,168.2,168.2,167.0,167.88,1263282.0,-0.00023820867079560326,0.00023820867079560326,212079782.16,0.0011232031095537941,0.007159904534606138,0,19.172473092784955,INDIGRID,InvIT,NSE,post
2025-11-21,167.8,168.75,167.08,168.31,877711.0,0.0025613533476291916,0.0025613533476291916,147727538.41,0.017338360709162188,0.009945508144001353,0,18.810880178395816,INDIGRID,InvIT,NSE,post
